age,workClass,education,educationNum,maritalStatus,occupation,race,sex,hoursPerWeek,nativeCountry,income
21,Private,Some-college,10,Single,Machine-op-inspct,White,Male,40,United-States,<=50K
19,Private,HS-grad,9,Devorced,Adm-clerical,White,Female,25,United-States,<=50K
31,Private,Some-college,10,Married,Sales,White,Male,38,?,>50K
48,Self-emp-not-inc,Assoc-acdm,12,Married,Prof-specialty,White,Male,40,United-States,<=50K
31,Private,9th,5,Married,Machine-op-inspct,White,Male,43,United-States,<=50K
53,Self-emp-not-inc,Bachelors,13,Married,Prof-specialty,White,Male,40,United-States,<=50K
24,Private,Bachelors,13,Married,Tech-support,White,Male,50,United-States,<=50K
49,Private,HS-grad,9,Married,Adm-clerical,White,Female,40,United-States,<=50K
25,Private,HS-grad,9,Single,Handlers-cleaners,White,Male,35,United-States,<=50K
57,Federal-gov,Bachelors,13,Married,Prof-specialty,Black,Male,40,United-States,>50K
53,Private,HS-grad,9,Married,Machine-op-inspct,White,Male,38,United-States,<=50K
44,Private,Masters,14,Married,Exec-managerial,White,Female,40,United-States,<=50K
41,State-gov,Assoc-voc,11,Married,Craft-repair,White,Male,40,United-States,<=50K
29,Private,Assoc-voc,11,Single,Prof-specialty,White,Male,43,United-States,<=50K
25,Private,Some-college,10,Married,Exec-managerial,Brown,Female,40,United-States,<=50K
18,Private,HS-grad,9,Single,Other-service,White,Female,30,?,<=50K
47,Private,Prof-school,15,Married,Prof-specialty,White,Female,60,Honduras,>50K
50,Federal-gov,Bachelors,13,Married,Exec-managerial,White,Male,55,United-States,>50K
47,Self-emp-inc,HS-grad,9,Married,Exec-managerial,White,Male,60,United-States,<=50K
43,Private,Some-college,10,Married,Tech-support,White,Male,40,United-States,>50K
46,Private,5th-6th,3,Married,Machine-op-inspct,White,Male,40,Mexico,<=50K
35,Private,Assoc-voc,11,Married,Other-service,White,Male,40,Puerto-Rico,<=50K
41,Private,HS-grad,9,Married,Adm-clerical,White,Male,48,United-States,<=50K
30,Private,HS-grad,9,Married,Machine-op-inspct,White,Male,40,United-States,<=50K
30,Private,Bachelors,13,Married,Sales,White,Male,40,United-States,<=50K
32,?,7th-8th,4,Married,?,White,Male,40,?,<=50K
48,Private,HS-grad,9,Married,Transport-moving,White,Male,40,United-States,<=50K
42,Private,Doctorate,16,Married,Prof-specialty,White,Male,45,United-States,>50K
29,Private,Some-college,10,Married,Tech-support,White,Male,58,United-States,<=50K
36,Private,HS-grad,9,Married,Craft-repair,White,Male,40,United-States,<=50K
28,Private,Some-college,10,Married,Adm-clerical,White,Female,40,United-States,<=50K
53,Private,HS-grad,9,Married,Adm-clerical,White,Female,40,United-States,>50K
49,Self-emp-inc,Some-college,10,Married,Exec-managerial,White,Male,50,United-States,>50K
25,?,Some-college,10,Single,?,White,Male,40,United-States,<=50K
19,Private,Some-college,10,Single,Prof-specialty,White,Male,32,United-States,<=50K
31,Private,Bachelors,13,Married,Sales,Black,Female,40,United-States,<=50K
29,Self-emp-not-inc,Bachelors,13,Married,Sales,White,Male,70,United-States,>50K
23,Private,Some-college,10,Single,Machine-op-inspct,White,Male,40,United-States,<=50K
79,Private,Some-college,10,Married,Prof-specialty,White,Male,20,United-States,<=50K
27,Private,HS-grad,9,Single,Other-service,White,Male,40,Mexico,<=50K
40,Private,Assoc-acdm,12,Married,Adm-clerical,White,Male,40,United-States,<=50K
67,?,10th,6,Married,?,White,Male,2,United-States,<=50K
18,Private,11th,7,Single,Other-service,White,Female,22,United-States,<=50K
31,Local-gov,7th-8th,4,Married,Farming-fishing,White,Male,40,United-States,<=50K
18,Private,HS-grad,9,Single,Sales,White,Male,30,United-States,<=50K
52,Private,Bachelors,13,Married,Other-service,White,Male,40,Cuba,<=50K
46,Private,HS-grad,9,Married,Other-service,White,Female,40,United-States,<=50K
59,Private,HS-grad,9,Married,Sales,White,Male,48,United-States,<=50K
44,Private,HS-grad,9,Married,Craft-repair,White,Female,40,United-States,>50K
53,Private,HS-grad,9,Married,Sales,White,Female,35,United-States,<=50K
49,Local-gov,HS-grad,9,Married,Protective-serv,White,Male,40,United-States,>50K
33,Private,Masters,14,Married,Prof-specialty,White,Male,50,United-States,<=50K
30,Private,9th,5,Single,Sales,White,Male,40,United-States,<=50K
43,Federal-gov,Doctorate,16,Single,Prof-specialty,White,Female,50,United-States,>50K
57,Private,Assoc-voc,11,Married,Prof-specialty,White,Male,40,United-States,<=50K
37,Private,Some-college,10,Married,Craft-repair,White,Female,40,United-States,<=50K
28,Private,Some-college,10,Married,Machine-op-inspct,Black,Female,25,United-States,<=50K
30,Private,HS-grad,9,Married,Sales,Brown,Female,35,?,<=50K
34,Local-gov,Bachelors,13,Married,Protective-serv,White,Male,40,United-States,>50K
29,Local-gov,Some-college,10,Single,Handlers-cleaners,White,Male,50,United-States,<=50K
48,Self-emp-not-inc,Doctorate,16,Married,Prof-specialty,White,Male,60,United-States,>50K
37,Private,Some-college,10,Married,Sales,White,Male,48,United-States,>50K
48,Private,Assoc-acdm,12,Married,Exec-managerial,White,Female,40,England,<=50K
32,Federal-gov,HS-grad,9,Single,Other-service,Black,Male,40,United-States,<=50K
76,Private,Masters,14,Married,Exec-managerial,White,Male,40,United-States,>50K
44,Private,Bachelors,13,Married,Exec-managerial,White,Male,60,United-States,>50K
47,Self-emp-not-inc,Masters,14,Single,Prof-specialty,White,Female,50,United-States,<=50K
20,Private,Some-college,10,Single,Tech-support,White,Female,40,United-States,<=50K
29,Private,HS-grad,9,Single,Craft-repair,White,Male,40,United-States,<=50K
32,Self-emp-inc,HS-grad,9,Married,Craft-repair,White,Male,40,United-States,>50K
17,?,10th,6,Single,?,White,Female,32,United-States,<=50K
30,Private,11th,7,Single,Handlers-cleaners,White,Male,40,United-States,<=50K
31,Local-gov,HS-grad,9,Single,Adm-clerical,White,Female,40,United-States,<=50K
42,Private,HS-grad,9,Married,Handlers-cleaners,White,Male,40,United-States,<=50K
24,Private,Bachelors,13,Single,Sales,White,Male,40,United-States,<=50K
38,Private,Prof-school,15,Married,Prof-specialty,White,Male,40,United-States,>50K
56,Self-emp-not-inc,HS-grad,9,Married,Other-service,White,Male,50,Canada,>50K
28,Private,Some-college,10,Married,Sales,White,Female,25,United-States,<=50K
36,Private,HS-grad,9,Single,Machine-op-inspct,White,Female,40,United-States,<=50K
53,Private,9th,5,Married,Handlers-cleaners,White,Male,50,United-States,<=50K
56,Self-emp-inc,Some-college,10,Married,Sales,White,Male,50,United-States,<=50K
49,Local-gov,Assoc-voc,11,Married,Craft-repair,Black,Male,40,United-States,>50K
55,Private,Some-college,10,Married,Sales,White,Male,56,United-States,<=50K
22,Private,HS-grad,9,Single,Craft-repair,White,Male,41,United-States,<=50K
21,Private,Some-college,10,Single,Other-service,White,Female,40,United-States,<=50K
40,Private,Bachelors,13,Married,Exec-managerial,White,Male,60,United-States,<=50K
30,Private,Bachelors,13,Single,Exec-managerial,Black,Male,40,Germany,<=50K
29,State-gov,Bachelors,13,Married,Prof-specialty,White,Male,50,United-States,>50K
19,Private,Some-college,10,Single,Other-service,Black,Male,35,United-States,<=50K
47,Private,Bachelors,13,Married,Exec-managerial,White,Female,40,United-States,>50K
20,Private,Some-college,10,Single,Adm-clerical,White,Female,28,United-States,<=50K
31,Private,Assoc-acdm,12,Married,Adm-clerical,White,Male,40,United-States,>50K
35,?,HS-grad,9,Married,?,White,Male,40,United-States,<=50K
39,Private,Some-college,10,Married,Craft-repair,White,Male,40,United-States,<=50K
28,Private,Assoc-acdm,12,Single,Sales,White,Female,60,United-States,<=50K
24,Private,HS-grad,9,Single,Other-service,White,Female,40,United-States,<=50K
38,Self-emp-not-inc,HS-grad,9,Married,Craft-repair,White,Male,35,United-States,<=50K
37,Private,Bachelors,13,Married,Sales,White,Male,50,United-States,<=50K
46,Private,Assoc-acdm,12,Married,Tech-support,Black,Female,36,United-States,<=50K
38,Federal-gov,Masters,14,Married,Prof-specialty,White,Male,40,Iran,>50K
43,Self-emp-not-inc,HS-grad,9,Married,Craft-repair,White,Male,60,United-States,<=50K
27,Private,Assoc-voc,11,Married,Adm-clerical,White,Female,35,United-States,<=50K
20,Private,Some-college,10,Single,Sales,White,Male,20,United-States,<=50K
49,Private,Some-college,10,Married,Craft-repair,Brown,Male,40,United-States,>50K
61,Self-emp-inc,HS-grad,9,Married,Craft-repair,White,Male,40,United-States,<=50K
27,Private,Some-college,10,Single,Sales,White,Female,40,United-States,<=50K
19,Private,Some-college,10,Single,Other-service,White,Male,30,Mexico,<=50K
45,Private,Assoc-voc,11,Single,Prof-specialty,White,Female,40,United-States,>50K
70,Private,Some-college,10,Single,Tech-support,White,Male,40,United-States,<=50K
31,Private,HS-grad,9,Single,Transport-moving,Black,Female,30,United-States,<=50K
22,Private,Some-college,10,Married,Other-service,White,Male,24,United-States,<=50K
36,Private,HS-grad,9,Devorced,Other-service,White,Female,24,United-States,<=50K
64,Private,11th,7,Married,Craft-repair,White,Male,40,United-States,<=50K
43,?,Some-college,10,Married,?,White,Female,40,United-States,<=50K
47,Local-gov,Some-college,10,Married,Adm-clerical,White,Female,38,Mexico,<=50K
34,Private,HS-grad,9,Single,Adm-clerical,White,Female,40,United-States,<=50K
33,Private,Bachelors,13,Single,Exec-managerial,Brown,Female,40,Philippines,<=50K
21,Private,HS-grad,9,Single,Craft-repair,White,Male,35,United-States,<=50K
52,?,HS-grad,9,Married,?,White,Male,45,United-States,>50K
48,Private,HS-grad,9,Married,Craft-repair,White,Male,46,United-States,<=50K
23,Private,Bachelors,13,Single,Handlers-cleaners,White,Male,40,United-States,<=50K
71,Self-emp-not-inc,Some-college,10,Married,Sales,Black,Male,2,United-States,<=50K
29,Private,HS-grad,9,Married,Craft-repair,White,Male,60,United-States,<=50K
42,Private,Bachelors,13,Married,Other-service,Black,Male,50,United-States,<=50K
68,?,1st-4th,2,Married,?,White,Female,20,United-States,<=50K
25,Private,HS-grad,9,Single,Other-service,White,Female,40,United-States,<=50K
44,Self-emp-inc,Masters,14,Married,Exec-managerial,Brown,Female,40,United-States,<=50K
28,Private,HS-grad,9,Single,Exec-managerial,Brown,Female,40,England,<=50K
45,Self-emp-not-inc,Masters,14,Married,Sales,White,Male,40,United-States,>50K
36,Private,Some-college,10,Married,Other-service,White,Female,40,Mexico,<=50K
39,Federal-gov,Assoc-acdm,12,Single,Exec-managerial,White,Male,42,United-States,<=50K
46,State-gov,Masters,14,Devorced,Protective-serv,White,Male,40,United-States,<=50K
18,Private,11th,7,Single,Handlers-cleaners,White,Male,16,United-States,<=50K
66,Local-gov,Assoc-voc,11,Devorced,Prof-specialty,White,Female,20,United-States,<=50K
27,Private,HS-grad,9,Single,Other-service,White,Male,40,United-States,<=50K
28,State-gov,HS-grad,9,Married,Protective-serv,White,Male,40,United-States,<=50K
51,Private,Some-college,10,Married,Sales,White,Male,40,United-States,>50K
27,Private,Bachelors,13,Single,Craft-repair,White,Male,50,United-States,<=50K
28,State-gov,Bachelors,13,Married,Prof-specialty,White,Male,40,United-States,>50K
27,Private,HS-grad,9,Married,Sales,White,Female,25,United-States,<=50K
21,Private,HS-grad,9,Single,Craft-repair,Black,Male,40,United-States,<=50K
34,Private,HS-grad,9,Single,Handlers-cleaners,Black,Male,40,United-States,<=50K
18,Private,HS-grad,9,Single,Other-service,White,Male,12,United-States,<=50K
33,Private,Bachelors,13,Married,Prof-specialty,White,Male,65,United-States,<=50K
44,Local-gov,Some-college,10,Married,Exec-managerial,Black,Male,38,United-States,>50K
43,Private,Some-college,10,Married,Adm-clerical,White,Female,40,United-States,<=50K
30,Private,Some-college,10,Single,Craft-repair,Black,Male,45,United-States,<=50K
40,Private,7th-8th,4,Married,Machine-op-inspct,White,Male,40,Mexico,>50K
37,Federal-gov,Some-college,10,Married,Adm-clerical,White,Male,42,United-States,>50K
34,Private,HS-grad,9,Married,Adm-clerical,Black,Male,40,United-States,<=50K
41,Self-emp-not-inc,Bachelors,13,Married,Exec-managerial,White,Female,40,United-States,<=50K
53,?,Bachelors,13,Married,?,White,Female,50,United-States,<=50K
31,Private,Masters,14,Married,Prof-specialty,White,Female,50,United-States,<=50K
58,State-gov,Doctorate,16,Married,Prof-specialty,White,Male,1,United-States,>50K
38,Private,Some-college,10,Married,Machine-op-inspct,Black,Female,28,United-States,<=50K
24,Private,Some-college,10,Married,Machine-op-inspct,White,Male,40,United-States,<=50K
41,Local-gov,Bachelors,13,Married,Craft-repair,Black,Male,40,United-States,<=50K
47,Private,Some-college,10,Married,Tech-support,White,Male,45,United-States,<=50K
41,Federal-gov,Bachelors,13,Married,Tech-support,White,Male,24,United-States,<=50K
23,Private,5th-6th,3,Married,Transport-moving,White,Male,40,Mexico,<=50K
36,Private,Some-college,10,Married,Craft-repair,White,Male,40,United-States,<=50K
40,Federal-gov,Masters,14,Single,Exec-managerial,White,Female,55,United-States,>50K
35,Private,Masters,14,Married,Prof-specialty,White,Male,40,United-States,>50K
24,Self-emp-not-inc,HS-grad,9,Single,Sales,White,Male,40,United-States,<=50K
26,Private,Masters,14,Single,Prof-specialty,White,Female,40,United-States,<=50K
19,?,HS-grad,9,Single,?,White,Male,40,Italy,<=50K
51,Private,Bachelors,13,Married,Exec-managerial,White,Male,50,United-States,>50K
42,Local-gov,Some-college,10,Single,Prof-specialty,White,Female,40,United-States,<=50K
37,State-gov,HS-grad,9,Married,Adm-clerical,White,Female,35,United-States,<=50K
18,Private,11th,7,Single,Sales,White,Female,40,United-States,<=50K
36,Private,Bachelors,13,Married,Other-service,Black,Male,36,United-States,>50K
35,Private,HS-grad,9,Married,Craft-repair,White,Male,60,United-States,<=50K
58,Self-emp-inc,HS-grad,9,Married,Sales,White,Female,35,United-States,>50K
17,Private,11th,7,Single,Sales,White,Female,12,United-States,<=50K
44,Local-gov,HS-grad,9,Married,Transport-moving,Black,Male,40,United-States,<=50K
37,Private,HS-grad,9,Married,Craft-repair,White,Male,40,United-States,>50K
35,Private,Some-college,10,Single,Sales,Brown,Female,40,United-States,<=50K
60,Private,HS-grad,9,Married,Craft-repair,Brown,Male,40,United-States,<=50K
54,Self-emp-inc,7th-8th,4,Married,Machine-op-inspct,White,Male,40,United-States,>50K
37,Private,Bachelors,13,Single,Exec-managerial,Black,Male,60,United-States,>50K
50,Private,Assoc-acdm,12,Married,Sales,White,Female,40,United-States,<=50K
38,Private,Bachelors,13,Married,Sales,White,Male,50,Poland,<=50K
45,Private,Bachelors,13,Married,Prof-specialty,White,Male,55,United-States,<=50K
25,Private,10th,6,Single,Craft-repair,White,Male,40,United-States,<=50K
31,Private,Some-college,10,Married,Handlers-cleaners,White,Male,40,United-States,<=50K
64,?,1st-4th,2,Married,?,White,Male,40,United-States,<=50K
90,Private,HS-grad,9,Single,Other-service,Black,Male,40,United-States,<=50K
54,Private,HS-grad,9,Married,Adm-clerical,Black,Male,20,United-States,<=50K
53,Local-gov,Preschool,1,Single,Machine-op-inspct,White,Female,35,United-States,<=50K
18,Private,HS-grad,9,Single,Sales,White,Female,40,United-States,<=50K
60,?,10th,6,Married,?,Brown,Female,10,United-States,<=50K
66,Self-emp-not-inc,HS-grad,9,Married,Farming-fishing,White,Male,50,United-States,<=50K
75,Private,Assoc-voc,11,Devorced,Adm-clerical,White,Female,20,Columbia,<=50K
65,Private,HS-grad,9,Married,Adm-clerical,White,Female,40,United-States,<=50K
35,Private,11th,7,Married,Transport-moving,Black,Male,40,United-States,<=50K
41,Private,HS-grad,9,Married,Sales,Black,Female,38,United-States,<=50K
25,Private,Some-college,10,Single,Adm-clerical,White,Male,42,United-States,<=50K
33,Private,Some-college,10,Married,Craft-repair,Brown,Female,40,United-States,<=50K
28,Private,Prof-school,15,Single,Prof-specialty,White,Male,55,United-States,>50K
59,State-gov,HS-grad,9,Married,Other-service,White,Male,40,United-States,<=50K
40,State-gov,Some-college,10,Single,Adm-clerical,White,Female,38,United-States,<=50K
41,Private,Bachelors,13,Married,Exec-managerial,White,Male,50,Iran,>50K
38,Local-gov,Masters,14,Married,Exec-managerial,White,Male,70,United-States,>50K
23,Private,HS-grad,9,Single,Transport-moving,White,Male,40,United-States,<=50K
40,Private,Bachelors,13,Married,Prof-specialty,White,Male,40,United-States,>50K
41,Self-emp-not-inc,HS-grad,9,Married,Other-service,White,Female,20,United-States,<=50K
24,State-gov,Assoc-acdm,12,Married,Protective-serv,White,Male,50,United-States,<=50K
20,?,Some-college,10,Single,?,White,Male,20,United-States,<=50K
38,Private,Some-college,10,Married,Craft-repair,White,Male,40,United-States,<=50K
56,Private,HS-grad,9,Married,Adm-clerical,White,Male,35,?,<=50K
58,Private,HS-grad,9,Married,Adm-clerical,White,Male,45,United-States,>50K
32,Private,HS-grad,9,Single,Other-service,White,Female,34,United-States,<=50K
40,Private,Assoc-acdm,12,Married,Tech-support,White,Male,60,United-States,>50K
45,Private,HS-grad,9,Married,Adm-clerical,White,Male,40,?,<=50K
41,Private,Prof-school,15,Married,Prof-specialty,White,Female,40,United-States,>50K
42,Private,Bachelors,13,Married,Adm-clerical,Black,Female,40,United-States,<=50K
59,Local-gov,10th,6,Devorced,Other-service,Black,Female,30,United-States,<=50K
19,Local-gov,Some-college,10,Single,Adm-clerical,White,Male,40,United-States,<=50K
58,Private,Some-college,10,Single,Transport-moving,White,Male,20,United-States,<=50K
42,Self-emp-not-inc,HS-grad,9,Married,Farming-fishing,Brown,Male,40,Cambodia,>50K
20,Private,HS-grad,9,Single,Other-service,White,Female,40,United-States,<=50K
32,Private,HS-grad,9,Married,Other-service,White,Female,30,United-States,<=50K
45,Private,Assoc-voc,11,Devorced,Exec-managerial,White,Female,45,United-States,<=50K
50,Private,7th-8th,4,Married,Craft-repair,White,Male,40,United-States,<=50K
36,Private,Bachelors,13,Married,Prof-specialty,White,Female,40,United-States,<=50K
45,Private,HS-grad,9,Married,Sales,White,Male,60,United-States,<=50K
17,Private,11th,7,Single,Other-service,White,Male,12,United-States,<=50K
59,Private,Some-college,10,Married,Sales,White,Male,40,United-States,<=50K
26,Private,11th,7,Married,Craft-repair,White,Male,40,United-States,<=50K
37,Self-emp-inc,Some-college,10,Married,Exec-managerial,Brown,Male,75,Thailand,>50K
19,?,Some-college,10,Single,?,White,Male,24,Canada,<=50K
64,Private,HS-grad,9,Married,Exec-managerial,White,Male,40,United-States,>50K
33,Private,Bachelors,13,Single,Prof-specialty,White,Female,45,United-States,<=50K
33,Private,HS-grad,9,Married,Craft-repair,White,Female,40,United-States,>50K
61,Private,HS-grad,9,Married,Exec-managerial,White,Male,40,United-States,>50K
17,Private,9th,5,Single,Other-service,White,Male,24,United-States,<=50K
50,Self-emp-not-inc,Masters,14,Married,Farming-fishing,White,Male,98,United-States,<=50K
27,Local-gov,Masters,14,Single,Prof-specialty,White,Male,35,United-States,<=50K
30,Private,HS-grad,9,Married,Prof-specialty,White,Female,40,United-States,<=50K
43,Private,HS-grad,9,Married,Handlers-cleaners,Black,Male,40,United-States,<=50K
44,Private,Some-college,10,Married,Craft-repair,White,Male,40,United-States,>50K
35,Private,Some-college,10,Single,Exec-managerial,White,Female,40,United-States,<=50K
25,Private,Some-college,10,Single,Tech-support,White,Female,40,United-States,<=50K
24,Private,Some-college,10,Married,Machine-op-inspct,White,Female,48,United-States,>50K
22,Private,Bachelors,13,Single,Prof-specialty,White,Female,15,Germany,<=50K
42,Local-gov,Some-college,10,Married,Craft-repair,White,Male,40,United-States,>50K
34,Private,Assoc-acdm,12,Married,Sales,Black,Female,45,United-States,<=50K
60,Private,Bachelors,13,Married,Prof-specialty,White,Female,42,United-States,<=50K
21,Private,HS-grad,9,Single,Handlers-cleaners,White,Male,40,United-States,<=50K
57,Federal-gov,Masters,14,Married,Sales,White,Male,40,United-States,>50K
41,Private,Prof-school,15,Married,Prof-specialty,White,Male,60,United-States,>50K
50,Private,Some-college,10,Married,Other-service,White,Male,45,United-States,<=50K
25,Private,Bachelors,13,Single,Exec-managerial,White,Female,40,United-States,<=50K
50,Private,7th-8th,4,Married,Craft-repair,White,Male,40,Ecuador,<=50K
36,Private,Bachelors,13,Married,Prof-specialty,White,Male,45,United-States,<=50K
31,Private,HS-grad,9,Married,Prof-specialty,White,Female,40,United-States,<=50K
29,Local-gov,Bachelors,13,Single,Protective-serv,White,Male,56,United-States,<=50K
21,Private,Some-college,10,Single,Sales,White,Male,45,United-States,<=50K
27,Private,Bachelors,13,Single,Tech-support,Black,Female,40,United-States,<=50K
65,Private,HS-grad,9,Married,Transport-moving,White,Male,16,United-States,<=50K
37,Self-emp-inc,Bachelors,13,Married,Sales,White,Female,60,United-States,<=50K
39,?,Masters,14,Married,?,Brown,Female,40,?,<=50K
24,Private,HS-grad,9,Single,Craft-repair,White,Male,40,United-States,<=50K
38,Private,HS-grad,9,Married,Sales,White,Male,80,United-States,<=50K
48,Private,Bachelors,13,Married,Adm-clerical,White,Male,40,United-States,>50K
21,Private,Some-college,10,Single,Other-service,Brown,Female,25,United-States,<=50K
31,Private,HS-grad,9,Married,Transport-moving,White,Male,45,United-States,>50K
55,Private,HS-grad,9,Married,Sales,White,Male,40,United-States,>50K
24,Private,Some-college,10,Married,Adm-clerical,Brown,Female,40,Laos,<=50K
43,Private,HS-grad,9,Married,Adm-clerical,White,Female,40,United-States,<=50K
26,Private,Assoc-acdm,12,Single,Tech-support,White,Male,45,United-States,<=50K
46,Private,Assoc-acdm,12,Single,Prof-specialty,White,Female,33,United-States,<=50K
35,Private,Assoc-acdm,12,Married,Adm-clerical,White,Male,40,United-States,>50K
41,Self-emp-inc,Some-college,10,Married,Farming-fishing,White,Male,54,United-States,>50K
26,Private,Bachelors,13,Single,Sales,White,Male,40,United-States,<=50K
34,Private,Masters,14,Married,Exec-managerial,Brown,Male,35,Taiwan,>50K
19,?,Some-college,10,Single,?,Black,Female,25,United-States,<=50K
36,Self-emp-not-inc,Bachelors,13,Married,Prof-specialty,Black,Female,40,United-States,>50K
22,Private,Some-college,10,Single,Sales,White,Male,15,United-States,<=50K
24,Private,Some-college,10,Single,Machine-op-inspct,White,Male,40,United-States,<=50K
77,Self-emp-not-inc,Some-college,10,Married,Sales,White,Male,40,United-States,<=50K
22,Private,5th-6th,3,Married,Machine-op-inspct,White,Female,40,Mexico,<=50K
29,Private,Some-college,10,Single,Tech-support,White,Female,40,United-States,<=50K
62,Private,HS-grad,9,Devorced,Other-service,White,Female,24,United-States,<=50K
39,Self-emp-not-inc,HS-grad,9,Married,Exec-managerial,White,Male,40,United-States,<=50K
43,Private,Some-college,10,Married,Craft-repair,White,Male,50,United-States,<=50K
35,Private,HS-grad,9,Married,Transport-moving,White,Male,45,United-States,<=50K
29,Private,11th,7,Single,Exec-managerial,White,Female,40,United-States,<=50K
76,Self-emp-not-inc,Masters,14,Married,Craft-repair,White,Male,10,United-States,<=50K
63,Self-emp-not-inc,HS-grad,9,Married,Farming-fishing,White,Male,45,United-States,<=50K
23,?,Assoc-voc,11,Single,?,Black,Female,15,United-States,<=50K
43,Private,Some-college,10,Married,Prof-specialty,White,Female,50,United-States,>50K
58,Self-emp-not-inc,HS-grad,9,Married,Handlers-cleaners,White,Male,40,United-States,<=50K
66,Private,HS-grad,9,Single,Transport-moving,White,Male,55,United-States,<=50K
41,Private,Some-college,10,Single,Craft-repair,Black,Male,45,United-States,<=50K
26,Private,Bachelors,13,Single,Adm-clerical,White,Male,40,United-States,<=50K
47,Private,Assoc-voc,11,Single,Other-service,White,Male,40,United-States,<=50K
55,Local-gov,10th,6,Married,Adm-clerical,White,Male,40,United-States,<=50K
53,Private,HS-grad,9,Married,Transport-moving,White,Male,40,United-States,<=50K
17,Private,5th-6th,3,Single,Other-service,White,Male,48,Mexico,<=50K
30,Private,HS-grad,9,Single,Craft-repair,White,Male,40,United-States,<=50K
49,Private,Masters,14,Single,Prof-specialty,White,Male,60,United-States,<=50K
19,Private,HS-grad,9,Single,Sales,Black,Male,30,Haiti,<=50K
45,Private,HS-grad,9,Married,Other-service,Black,Male,40,United-States,<=50K
26,Private,Assoc-acdm,12,Single,Sales,White,Male,40,United-States,<=50K
38,Private,Assoc-voc,11,Married,Craft-repair,White,Male,40,United-States,>50K
36,State-gov,HS-grad,9,Married,Protective-serv,White,Male,40,United-States,>50K
33,Private,HS-grad,9,Single,Farming-fishing,White,Male,20,United-States,<=50K
22,State-gov,Some-college,10,Single,Protective-serv,Black,Female,40,United-States,<=50K
43,Self-emp-not-inc,Bachelors,13,Single,Sales,White,Male,42,United-States,<=50K
67,?,11th,7,Married,?,White,Male,8,United-States,<=50K
30,?,Assoc-voc,11,Married,?,White,Female,40,United-States,<=50K
56,Private,Assoc-acdm,12,Married,Other-service,White,Male,25,Iran,<=50K
31,Private,Bachelors,13,Single,Prof-specialty,White,Male,25,United-States,<=50K
33,Private,Bachelors,13,Married,Exec-managerial,White,Male,40,United-States,>50K
